,State,Year,Death Count
0,AK,2020,1591.0
1,AL,2020,10624.0
2,AR,2020,5325.0
3,AZ,2020,28466.0
4,CA,2020,92812.0
5,CO,2020,16085.0
6,CT,2020,16012.0
7,DC,2020,5672.0
8,DE,2020,5555.0
9,FL,2020,81365.0
10,GA,2020,19642.0
11,HI,2020,3093.0
12,IA,2020,4804.0
13,ID,2020,3204.0
14,IL,2020,39716.0
15,IN,2020,24290.0
16,KS,2020,4962.0
17,KY,2020,20842.0
18,LA,2020,19651.0
19,MA,2020,27305.0
20,MD,2020,30267.0
21,ME,2020,5295.0
22,MI,2020,31110.0
23,MN,2020,11109.0
24,MO,2020,21847.0
25,MS,2020,5501.0
26,MT,2020,1766.0
27,NC,2020,32319.0
28,ND,2020,1321.0
29,NE,2020,2147.0
30,NH,2020,4879.0
31,NJ,2020,34886.0
32,NM,2020,8388.0
33,NV,2020,9411.0
34,NY,2020,30517.0
35,OH,2020,57382.0
36,OK,2020,8300.0
37,OR,2020,8465.0
38,PA,2020,58887.0
39,RI,2020,4311.0
40,SC,2020,17551.0
41,SD,2020,1018.0
42,TN,2020,31681.0
43,TX,2020,44082.0
44,UT,2020,7081.0
45,VA,2020,22322.0
46,VT,2020,1717.0
47,WA,2020,17986.0
48,WI,2020,16886.0
49,WV,2020,13119.0
50,WY,2020,1075.0
51,AK,2021,2416.0
52,AL,2021,14096.0
53,AR,2021,6775.0
54,AZ,2021,32659.0
55,CA,2021,128065.0
56,CO,2021,20889.0
57,CT,2021,17709.0
58,DC,2021,6183.0
59,DE,2021,5500.0
60,FL,2021,94483.0
61,GA,2021,25957.0
62,HI,2021,3228.0
63,IA,2021,5289.0
64,ID,2021,3748.0
65,IL,2021,42827.0
66,IN,2021,30550.0
67,KS,2021,7079.0
68,KY,2021,27859.0
69,LA,2021,27635.0
70,MA,2021,29107.0
71,MD,2021,33825.0
72,ME,2021,6611.0
73,MI,2021,35229.0
74,MN,2021,14699.0
75,MO,2021,24703.0
76,MS,2021,8101.0
77,MT,2021,2127.0
78,NC,2021,42410.0
79,ND,2021,1540.0
80,NE,2021,2603.0
81,NH,2021,4710.0
82,NJ,2021,34899.0
83,NM,2021,11371.0
84,NV,2021,12106.0
85,NY,2021,36567.0
86,OH,2021,65003.0
87,OK,2021,9952.0
88,OR,2021,12167.0
89,PA,2021,64566.0
90,RI,2021,5031.0
91,SC,2021,23547.0
92,SD,2021,1015.0
93,TN,2021,42708.0
94,TX,2021,56194.0
95,UT,2021,7995.0
96,VA,2021,29678.0
97,VT,2021,2698.0
98,WA,2021,24129.0
99,WI,2021,19644.0
100,WV,2021,18067.0
101,WY,2021,1190.0
102,AK,2022,2992.0
103,AL,2022,16541.0
104,AR,2022,7471.0
105,AZ,2022,32889.0
106,CA,2022,135814.0
107,CO,2022,22442.0
108,CT,2022,18019.0
109,DC,2022,6630.0
110,DE,2022,6302.0
111,FL,2022,96425.0
112,GA,2022,30508.0
113,HI,2022,3284.0
114,IA,2022,5808.0
115,ID,2022,4274.0
116,IL,2022,46474.0
117,IN,2022,33075.0
118,KS,2022,8603.0
119,KY,2022,27795.0
120,LA,2022,30004.0
121,MA,2022,31196.0
122,MD,2022,30661.0
123,ME,2022,7849.0
124,MI,2022,35688.0
125,MN,2022,16342.0
126,MO,2022,26161.0
127,MS,2022,8400.0
128,MT,2022,2321.0
129,NC,2022,47047.0
130,ND,2022,1635.0
131,NE,2022,2562.0
132,NH,2022,5800.0
133,NJ,2022,35517.0
134,NM,2022,12201.0
135,NV,2022,12614.0
136,NY,2022,38286.0
137,OH,2022,62083.0
138,OK,2022,12690.0
139,OR,2022,14601.0
140,PA,2022,62771.0
141,RI,2022,5433.0
142,SC,2022,26741.0
143,SD,2022,1131.0
144,TN,2022,45196.0
145,TX,2022,61046.0
146,UT,2022,7686.0
147,VA,2022,29924.0
148,VT,2022,3123.0
149,WA,2022,29189.0
150,WI,2022,21541.0
151,WV,2022,16270.0
152,WY,2022,1378.0
