,Year,State,Reason for Death,Death Count
0,2015,AK,Number of Drug Overdose Deaths,1472.0
1,2015,AL,Number of Drug Overdose Deaths,8818.0
2,2015,AR,Number of Drug Overdose Deaths,4616.0
3,2015,AZ,Number of Drug Overdose Deaths,14590.0
4,2015,CA,Number of Drug Overdose Deaths,56001.0
5,2015,CO,Number of Drug Overdose Deaths,11091.0
6,2015,CT,Number of Drug Overdose Deaths,8451.0
7,2015,DC,Number of Drug Overdose Deaths,1447.0
8,2015,DE,Number of Drug Overdose Deaths,2391.0
9,2015,FL,Number of Drug Overdose Deaths,36892.0
10,2015,GA,Number of Drug Overdose Deaths,15499.0
11,2015,HI,Number of Drug Overdose Deaths,1884.0
12,2015,IA,Number of Drug Overdose Deaths,3471.0
13,2015,ID,Number of Drug Overdose Deaths,2570.0
14,2015,IL,Number of Drug Overdose Deaths,21218.0
15,2015,IN,Number of Drug Overdose Deaths,14427.0
16,2015,KS,Number of Drug Overdose Deaths,3926.0
17,2015,KY,Number of Drug Overdose Deaths,14286.0
18,2015,LA,Number of Drug Overdose Deaths,9800.0
19,2015,MA,Number of Drug Overdose Deaths,17638.0
20,2015,MD,Number of Drug Overdose Deaths,14101.0
21,2015,ME,Number of Drug Overdose Deaths,2940.0
22,2015,MI,Number of Drug Overdose Deaths,23417.0
23,2015,MN,Number of Drug Overdose Deaths,6669.0
24,2015,MO,Number of Drug Overdose Deaths,13090.0
25,2015,MS,Number of Drug Overdose Deaths,3907.0
26,2015,MT,Number of Drug Overdose Deaths,1527.0
27,2015,NC,Number of Drug Overdose Deaths,17006.0
28,2015,ND,Number of Drug Overdose Deaths,799.0
29,2015,NE,Number of Drug Overdose Deaths,1547.0
30,2015,NH,Number of Drug Overdose Deaths,4896.0
31,2015,NJ,Number of Drug Overdose Deaths,15849.0
32,2015,NM,Number of Drug Overdose Deaths,6291.0
33,2015,NV,Number of Drug Overdose Deaths,7342.0
34,2015,NY,Number of Drug Overdose Deaths,19990.0
35,2015,OH,Number of Drug Overdose Deaths,36893.0
36,2015,OK,Number of Drug Overdose Deaths,8944.0
37,2015,OR,Number of Drug Overdose Deaths,6129.0
38,2015,PA,Number of Drug Overdose Deaths,36077.0
39,2015,RI,Number of Drug Overdose Deaths,3517.0
40,2015,SC,Number of Drug Overdose Deaths,8692.0
41,2015,SD,Number of Drug Overdose Deaths,727.0
42,2015,TN,Number of Drug Overdose Deaths,16367.0
43,2015,TX,Number of Drug Overdose Deaths,30794.0
44,2015,US,Number of Drug Overdose Deaths,601011.0
45,2015,UT,Number of Drug Overdose Deaths,7433.0
46,2015,VA,Number of Drug Overdose Deaths,11819.0
47,2015,VT,Number of Drug Overdose Deaths,1094.0
48,2015,WA,Number of Drug Overdose Deaths,12643.0
49,2015,WI,Number of Drug Overdose Deaths,10378.0
50,2015,WV,Number of Drug Overdose Deaths,8230.0
51,2015,WY,Number of Drug Overdose Deaths,1229.0
52,2015,YC,Number of Drug Overdose Deaths,10186.0
53,2016,AK,Number of Drug Overdose Deaths,1594.0
54,2016,AL,Number of Drug Overdose Deaths,8324.0
55,2016,AR,Number of Drug Overdose Deaths,4513.0
56,2016,AZ,Number of Drug Overdose Deaths,16403.0
57,2016,CA,Number of Drug Overdose Deaths,57154.0
58,2016,CO,Number of Drug Overdose Deaths,11137.0
59,2016,CT,Number of Drug Overdose Deaths,10776.0
60,2016,DC,Number of Drug Overdose Deaths,2586.0
61,2016,DE,Number of Drug Overdose Deaths,2724.0
62,2016,FL,Number of Drug Overdose Deaths,48380.0
63,2016,GA,Number of Drug Overdose Deaths,15538.0
64,2016,HI,Number of Drug Overdose Deaths,2294.0
65,2016,IA,Number of Drug Overdose Deaths,3725.0
66,2016,ID,Number of Drug Overdose Deaths,2623.0
67,2016,IL,Number of Drug Overdose Deaths,26227.0
68,2016,IN,Number of Drug Overdose Deaths,16365.0
69,2016,KS,Number of Drug Overdose Deaths,3774.0
70,2016,KY,Number of Drug Overdose Deaths,16155.0
71,2016,LA,Number of Drug Overdose Deaths,11393.0
72,2016,MA,Number of Drug Overdose Deaths,23951.0
73,2016,MD,Number of Drug Overdose Deaths,20291.0
74,2016,ME,Number of Drug Overdose Deaths,3796.0
75,2016,MI,Number of Drug Overdose Deaths,24245.0
76,2016,MN,Number of Drug Overdose Deaths,7668.0
77,2016,MO,Number of Drug Overdose Deaths,14478.0
78,2016,MS,Number of Drug Overdose Deaths,3933.0
79,2016,MT,Number of Drug Overdose Deaths,1477.0
80,2016,NC,Number of Drug Overdose Deaths,21361.0
81,2016,ND,Number of Drug Overdose Deaths,828.0
82,2016,NE,Number of Drug Overdose Deaths,1425.0
83,2016,NH,Number of Drug Overdose Deaths,5256.0
84,2016,NJ,Number of Drug Overdose Deaths,20055.0
85,2016,NM,Number of Drug Overdose Deaths,5881.0
86,2016,NV,Number of Drug Overdose Deaths,8457.0
87,2016,NY,Number of Drug Overdose Deaths,24820.0
88,2016,OH,Number of Drug Overdose Deaths,45503.0
89,2016,OK,Number of Drug Overdose Deaths,8913.0
90,2016,OR,Number of Drug Overdose Deaths,6002.0
91,2016,PA,Number of Drug Overdose Deaths,45980.0
92,2016,RI,Number of Drug Overdose Deaths,3978.0
93,2016,SC,Number of Drug Overdose Deaths,9569.0
94,2016,SD,Number of Drug Overdose Deaths,809.0
95,2016,TN,Number of Drug Overdose Deaths,18632.0
96,2016,TX,Number of Drug Overdose Deaths,32557.0
97,2016,US,Number of Drug Overdose Deaths,696602.0
98,2016,UT,Number of Drug Overdose Deaths,8333.0
99,2016,VA,Number of Drug Overdose Deaths,14327.0
100,2016,VT,Number of Drug Overdose Deaths,1363.0
101,2016,WA,Number of Drug Overdose Deaths,13830.0
102,2016,WI,Number of Drug Overdose Deaths,11926.0
103,2016,WV,Number of Drug Overdose Deaths,9617.0
104,2016,WY,Number of Drug Overdose Deaths,1138.0
105,2016,YC,Number of Drug Overdose Deaths,14518.0
106,2017,AK,Number of Drug Overdose Deaths,1571.0
107,2017,AL,Number of Drug Overdose Deaths,9551.0
108,2017,AR,Number of Drug Overdose Deaths,4775.0
109,2017,AZ,Number of Drug Overdose Deaths,17552.0
110,2017,CA,Number of Drug Overdose Deaths,58406.0
111,2017,CO,Number of Drug Overdose Deaths,12046.0
112,2017,CT,Number of Drug Overdose Deaths,12594.0
113,2017,DC,Number of Drug Overdose Deaths,4369.0
114,2017,DE,Number of Drug Overdose Deaths,3866.0
115,2017,FL,Number of Drug Overdose Deaths,65444.0
116,2017,GA,Number of Drug Overdose Deaths,17723.0
117,2017,HI,Number of Drug Overdose Deaths,2312.0
118,2017,IA,Number of Drug Overdose Deaths,3983.0
119,2017,ID,Number of Drug Overdose Deaths,2807.0
120,2017,IL,Number of Drug Overdose Deaths,31024.0
121,2017,IN,Number of Drug Overdose Deaths,20889.0
122,2017,KS,Number of Drug Overdose Deaths,3771.0
123,2017,KY,Number of Drug Overdose Deaths,18737.0
124,2017,LA,Number of Drug Overdose Deaths,12344.0
125,2017,MA,Number of Drug Overdose Deaths,25670.0
126,2017,MD,Number of Drug Overdose Deaths,27014.0
127,2017,ME,Number of Drug Overdose Deaths,4494.0
128,2017,MI,Number of Drug Overdose Deaths,31175.0
129,2017,MN,Number of Drug Overdose Deaths,8288.0
130,2017,MO,Number of Drug Overdose Deaths,16847.0
131,2017,MS,Number of Drug Overdose Deaths,3911.0
132,2017,MT,Number of Drug Overdose Deaths,1465.0
133,2017,NC,Number of Drug Overdose Deaths,26214.0
134,2017,ND,Number of Drug Overdose Deaths,950.0
135,2017,NE,Number of Drug Overdose Deaths,1512.0
136,2017,NH,Number of Drug Overdose Deaths,5524.0
