,Year,Indicator,State Name,Data Value
0,2015,Cocaine (T40.5),Alabama,0.0
1,2015,Cocaine (T40.5),Alaska,0.0
2,2015,Cocaine (T40.5),Arizona,0.0
3,2015,Cocaine (T40.5),Arkansas,0.0
4,2015,Cocaine (T40.5),California,0.0
5,2015,Cocaine (T40.5),Colorado,0.0
6,2015,Cocaine (T40.5),Connecticut,1634.0
7,2015,Cocaine (T40.5),Delaware,0.0
8,2015,Cocaine (T40.5),District of Columbia,447.0
9,2015,Cocaine (T40.5),Florida,0.0
10,2015,Cocaine (T40.5),Georgia,844.0
11,2015,Cocaine (T40.5),Hawaii,0.0
12,2015,Cocaine (T40.5),Idaho,0.0
13,2015,Cocaine (T40.5),Illinois,3235.0
14,2015,Cocaine (T40.5),Indiana,0.0
15,2015,Cocaine (T40.5),Iowa,200.0
16,2015,Cocaine (T40.5),Kansas,0.0
17,2015,Cocaine (T40.5),Kentucky,0.0
18,2015,Cocaine (T40.5),Maine,303.0
19,2015,Cocaine (T40.5),Maryland,1559.0
20,2015,Cocaine (T40.5),Massachusetts,400.0
21,2015,Cocaine (T40.5),Michigan,0.0
22,2015,Cocaine (T40.5),Minnesota,0.0
23,2015,Cocaine (T40.5),Mississippi,0.0
24,2015,Cocaine (T40.5),Missouri,0.0
25,2015,Cocaine (T40.5),Montana,0.0
26,2015,Cocaine (T40.5),Nevada,473.0
27,2015,Cocaine (T40.5),New Hampshire,546.0
28,2015,Cocaine (T40.5),New Jersey,0.0
29,2015,Cocaine (T40.5),New Mexico,698.0
30,2015,Cocaine (T40.5),New York,3916.0
31,2015,Cocaine (T40.5),North Carolina,3170.0
32,2015,Cocaine (T40.5),Ohio,5807.0
33,2015,Cocaine (T40.5),Oklahoma,353.0
34,2015,Cocaine (T40.5),Oregon,246.0
35,2015,Cocaine (T40.5),Rhode Island,980.0
36,2015,Cocaine (T40.5),South Carolina,1174.0
37,2015,Cocaine (T40.5),South Dakota,0.0
